,state_name,date,confirmed
431,California,2020-03-01,22
432,California,2020-03-02,30
433,California,2020-03-03,34
434,California,2020-03-04,48
435,California,2020-03-05,62
436,California,2020-03-06,79
437,California,2020-03-07,119
438,California,2020-03-08,131
439,California,2020-03-09,194
440,California,2020-03-10,221
441,California,2020-03-11,326
442,California,2020-03-12,352
443,California,2020-03-13,406
444,California,2020-03-14,504
445,California,2020-03-15,621
446,California,2020-03-16,740
447,California,2020-03-17,923
448,California,2020-03-18,1107
449,California,2020-03-19,1318
450,California,2020-03-20,1597
451,California,2020-03-21,1804
452,California,2020-03-22,2105
453,California,2020-03-23,2587
454,California,2020-03-24,2990
455,California,2020-03-25,3518
456,California,2020-03-26,4368
457,California,2020-03-27,5226
458,California,2020-03-28,6058
459,California,2020-03-29,6707
460,California,2020-03-30,7643
461,California,2020-03-31,8815
462,California,2020-04-01,10172
463,California,2020-04-02,11397
464,California,2020-04-03,12755
465,California,2020-04-04,14055
466,California,2020-04-05,15356
467,California,2020-04-06,16545
468,California,2020-04-07,17706
469,California,2020-04-08,19191
470,California,2020-04-09,20337
471,California,2020-04-10,21566
472,California,2020-04-11,22562
473,California,2020-04-12,23433
474,California,2020-04-13,24437
475,California,2020-04-14,25859
476,California,2020-04-15,27097
477,California,2020-04-16,28126
478,California,2020-04-17,29420
479,California,2020-04-18,30829
480,California,2020-04-19,31591
481,California,2020-04-20,33869
482,California,2020-04-21,35814
483,California,2020-04-22,37688
484,California,2020-04-23,39556
485,California,2020-04-24,41317
486,California,2020-04-25,42566
487,California,2020-04-26,43674
488,California,2020-04-27,45174
489,California,2020-04-28,46416
490,Colorado,2020-01-22,0
491,Colorado,2020-01-23,0
492,Colorado,2020-01-24,0
493,Colorado,2020-01-25,0
494,Colorado,2020-01-26,0
495,Colorado,2020-01-27,0
496,Colorado,2020-01-28,0
497,Colorado,2020-01-29,0
498,Colorado,2020-01-30,0
499,Colorado,2020-01-31,0
500,Colorado,2020-02-01,0
501,Colorado,2020-02-02,0
502,Colorado,2020-02-03,0
503,Colorado,2020-02-04,0
504,Colorado,2020-02-05,0
505,Colorado,2020-02-06,0
506,Colorado,2020-02-07,0
507,Colorado,2020-02-08,0
508,Colorado,2020-02-09,0
509,Colorado,2020-02-10,0
510,Colorado,2020-02-11,0
511,Colorado,2020-02-12,0
512,Colorado,2020-02-13,0
513,Colorado,2020-02-14,0
514,Colorado,2020-02-15,0
515,Colorado,2020-02-16,0
516,Colorado,2020-02-17,0
517,Colorado,2020-02-18,0
518,Colorado,2020-02-19,0
519,Colorado,2020-02-20,0
520,Colorado,2020-02-21,0
